,album,duration,explicit,track_number,trackid
61,0WWiyCTbLa7yJ0XsRSLCO2,244240,False,7,1xmHRLE9Ifu24IZgSJxuB9
62,0WWiyCTbLa7yJ0XsRSLCO2,310800,False,8,5g0XcIL9tqdbZxLw6UaRR4
63,0WWiyCTbLa7yJ0XsRSLCO2,215746,False,9,03KeWmp2bhxF1FWh3RpE2N
64,0WWiyCTbLa7yJ0XsRSLCO2,188746,False,10,2FP3aSEFrJDHv22F17zwca
65,0WWiyCTbLa7yJ0XsRSLCO2,194320,False,11,3XBiQIOPDi4av7e86s3eQk
66,0WWiyCTbLa7yJ0XsRSLCO2,308293,False,12,6WaaqPFsXjlQveBHtq4btu
67,0WWiyCTbLa7yJ0XsRSLCO2,280320,False,13,4y8Dk5miSfx7RJA1zQPXJb
68,0WWiyCTbLa7yJ0XsRSLCO2,234546,False,14,3fgiIEx8QqXRmol16pKR7j
69,0WWiyCTbLa7yJ0XsRSLCO2,278293,False,15,6DZ7TqxhVC9Br4CiSycbYi
70,4E61vCQ3Ty0er5FmJF68tQ,186649,False,1,4R2hmyRYUaO1yTqEc3J1Cc
71,4E61vCQ3Ty0er5FmJF68tQ,237481,False,2,4hFH5fh0ioMK8AlqNhRr6g
72,4E61vCQ3Ty0er5FmJF68tQ,265933,False,3,2ihuMqDYpwBEbQAJZLOo7i
73,4E61vCQ3Ty0er5FmJF68tQ,231765,False,4,4VN8x7hlpE0cuRQwgvenmV
74,4E61vCQ3Ty0er5FmJF68tQ,233769,False,5,5wfIE8iJK6mM5HGP8mhKzP
75,4E61vCQ3Ty0er5FmJF68tQ,219047,False,6,7u0R7NrOBqyJ6tZMIr5YoD
76,4E61vCQ3Ty0er5FmJF68tQ,244189,False,7,3BePO6y3EhT5ieOhZ3zOZK
77,4E61vCQ3Ty0er5FmJF68tQ,310771,False,8,6b2B2dS9UvPdBijz8DaalI
78,4E61vCQ3Ty0er5FmJF68tQ,215696,False,9,2gFvyF4eVCEbXeZvrMPETE
79,4E61vCQ3Ty0er5FmJF68tQ,188704,False,10,1XCja2p7gGsAHf5ZWfGwfQ
