 index ,        artists         ,           id           , marketsize 
    48 , 5aYyPjAsLj7UzANzdupwnS , 1qjyweGZntsbfbnxAbH4Go ,         56 , Good Morning Revival
    49 , 5aYyPjAsLj7UzANzdupwnS , 5skjlzXO7wZ6OuS9YKdI50 ,         29 , Good Morning Revival
    50 , 5aYyPjAsLj7UzANzdupwnS , 4LBfmZzMVu6syePrYFv9sb ,         24 , Good Morning Revival
    51 , 5aYyPjAsLj7UzANzdupwnS , 5jp5Ux1yUcNrvAHtg6iEaB ,         32 , Good Morning Revival
    52 , 5aYyPjAsLj7UzANzdupwnS , 6PofftBaaA0h3rKItVrycu ,          2 , The Chronicles of Life and Death (TARGET/"DEATH" art version)
    53 , 5aYyPjAsLj7UzANzdupwnS , 2QlW9mfySjWknVcl6IMIBY ,          2 , The Chronicles of Life and Death (TARGET/"LIFE" art version)
    54 , 3wyfo3svXNWnszGAEVey11 , 5X0zIlLMa4uAQKpaUTTDMF ,          1 , Forcefield
    55 , 3wyfo3svXNWnszGAEVey11 , 7D1PjzA7iNGsOslaN1wiYP ,         40 , Forcefield
    56 , 3wyfo3svXNWnszGAEVey11 , 2JK70wHaFHeqSkeHTPYHCi ,          1 , Forcefield
    57 , 3wyfo3svXNWnszGAEVey11 , 1xeXOhXRCOFwKoy7mru8T1 ,          4 , Forcefield
    58 , 3wyfo3svXNWnszGAEVey11 , 6RkYrcy2onT4caYhrk3Lk1 ,          1 , Ten Songs, Ten Years, Ten Days
    59 , 3wyfo3svXNWnszGAEVey11 , 5iunOvlERFqPA1HhROCIJg ,         38 , Champ (Remixes and Bonus Tracks)
    60 , 3wyfo3svXNWnszGAEVey11 , 68RCa5ygOnmybnSPnbMX1T ,          1 , Champ
    61 , 3wyfo3svXNWnszGAEVey11 , 3RctBF32H2dvLBj5DVXxoI ,          1 , Champ
    62 , 3wyfo3svXNWnszGAEVey11 , 6veqs8OBrIYJCsxu9bT380 ,         10 , Champ
    63 , 3wyfo3svXNWnszGAEVey11 , 3mv3HYb6LdY544Tmi6AFbB ,          1 , Champ (Deluxe Edition)
    64 , 3wyfo3svXNWnszGAEVey11 , 03Rr2AyVORG0UvBtfBl2Vr ,         30 , Elephant Shell Bonus Disc
    65 , 3wyfo3svXNWnszGAEVey11 , 4xRg914kbCOUm3LkSqGcDW ,          1 , Elephant Shell
    66 , 3wyfo3svXNWnszGAEVey11 , 5kqDdFpLpUuNdgClnlxN1K ,         38 , Elephant Shell
    67 , 3wyfo3svXNWnszGAEVey11 , 2LtCxL7Voyr5o8UWDxdMVo ,          1 , Elephant Shell
    68 , 3wyfo3svXNWnszGAEVey11 , 08ejYOtFN1gUz3hzhI3a7n ,         59 , Live at Lollapalooza 2007: Tokyo Police Club
    69 , 3wyfo3svXNWnszGAEVey11 , 0ITPyK5DJrDkRwHWIbLad5 ,         38 , A Lesson In Crime (Remixes)
    70 , 3wyfo3svXNWnszGAEVey11 , 6iucjMeZQ4rVmPFhSqO5xf ,         58 , Live From Soho - EP
